--- Terminal: 1 ---
[2026-05-13 08:05:33] Decode batch, #running-req: 24, #full token: 1857045, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1867.08, #queue-req: 8, 
[2026-05-13 08:05:33] Decode batch, #running-req: 24, #full token: 1858805, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1868.08, #queue-req: 8, 
[2026-05-13 08:05:34] Decode batch, #running-req: 24, #full token: 1860565, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1867.27, #queue-req: 8, 
[2026-05-13 08:05:35] Decode batch, #running-req: 24, #full token: 1862325, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1864.98, #queue-req: 8, 
[2026-05-13 08:05:36] Decode batch, #running-req: 24, #full token: 1864085, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1860.79, #queue-req: 8, 
[2026-05-13 08:05:37] Decode batch, #running-req: 24, #full token: 1865845, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1858.74, #queue-req: 8, 
[2026-05-13 08:05:38] Decode batch, #running-req: 24, #full token: 1867605, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1862.06, #queue-req: 8, 
[2026-05-13 08:05:39] Decode batch, #running-req: 24, #full token: 1869365, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1861.93, #queue-req: 8, 
[2026-05-13 08:05:40] Decode batch, #running-req: 24, #full token: 1871125, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1862.41, #queue-req: 8, 
[2026-05-13 08:05:41] Decode batch, #running-req: 24, #full token: 1872885, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1861.07, #queue-req: 8, 
[2026-05-13 08:05:42] Decode batch, #running-req: 24, #full token: 1874645, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1860.73, #queue-req: 8, 
[2026-05-13 08:05:43] Decode batch, #running-req: 24, #full token: 1876405, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1861.48, #queue-req: 8, 
[2026-05-13 08:05:44] Decode batch, #running-req: 24, #full token: 1878165, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1861.44, #queue-req: 8, 
[2026-05-13 08:05:45] Decode batch, #running-req: 24, #full token: 1879925, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1854.36, #queue-req: 8, 
[2026-05-13 08:05:46] Decode batch, #running-req: 24, #full token: 1881685, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1855.62, #queue-req: 8, 
[2026-05-13 08:05:47] Decode batch, #running-req: 24, #full token: 1883445, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1854.66, #queue-req: 8, 
[2026-05-13 08:05:48] Decode batch, #running-req: 24, #full token: 1885205, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1855.73, #queue-req: 8, 
